row,Hallmark_Name,Process_Category,Description,Number_of_Founder_Sets,Number_of_Genes
1,APICAL_JUNCTION,cellular_component,apical_junction_complex_consisting_of_adherens_and_tight_junctions,37,200
2,APICAL_SURFACE,cellular_component,membrane_proteins_in_the_apical_domain,12,44
3,PEROXISOME,cellular_component,peroxisomes,28,107
4,ADIPOGENESIS,development,adipocyte_development,36,200
5,ANGIOGENESIS,development,blood_vessel_formation,14,36
6,EPITHELIAL_MESENCHIMAL_TRANSITION,development,epithelial_mesenchymal_transition,107,200
7,MYOGENESIS,development,muscle_differentiation,64,200
8,SPERMATOGENESIS,development,sperm_development_and_male_fertility,24,135
9,PANCREAS_BETA_CELL,development,genes_specific_to_pancreatic_beta_cells,24,40
10,DNA_REPAIR,DNA_damage,DNA_repair,44,150
11,UV_RESPONSE_DOWN,DNA_damage,UV_response_downregulated_genes,17,144
12,UV_RESPONSE_UP,DNA_damage,UV_response:_upregulated_genes,16,158
13,ALLOGRAFT_REJECTION,immune,allograft_rejection,190,200
14,COAGULATION,immune,blood_coagulation_cascade,71,138
15,COMPLEMENT,immune,complement_cascade,71,200
16,INTERFERON_ALPHA_RESPONSE,immune,interferon_alpha_response,82,97
17,INTERFERON_GAMMA_RESPONSE,immune,interferon_gamma_response,82,200
18,IL6_JAK_STAT3_SIGNALING,immune,IL6_STAT3_signaling_during_acute_phase_response,24,87
19,INFLAMMATORY_RESPONSE,immune,inflammation,120,200
20,BILE_ACID_METABOLISM,metabolic,biosynthesis_of_bile_acids,28,112
21,CHOLESTEROL_HOMEOSTASIS,metabolic,cholesterol_homeostasis,28,74
22,FATTY_ACID_METABOLISM,metabolic,fatty_acid_metabolism,53,158
23,GLYCOLYSIS,metabolic,glycolysis_and_gluconeogenesis,87,200
24,HEME_METABOLISM,metabolic,heme_metabolism_and_erythroid_lineage,36,200
25,OXIDATIVE_PHOSPHORYLATION,metabolic,oxidative_phosphorylation_and_citric_acid_cycle,93,200
26,XENOBIOTIC_METABOLISM,metabolic,metabolism_of_xenobiotics,124,200
27,APOPTOSIS,pathway,programmed_cell_death_caspase_pathway,80,161
28,HYPOXIA,pathway,response_to_hypoxia_HIF1A_targets,87,200
29,PROTEIN_SECRETION,pathway,protein_secretion,74,96
30,UNFOLDED_PROTEIN_RESPONSE,pathway,unfolded_protein_response_ER_stress,22,113
31,REACTIVE_OXYGEN_SPECIES_PATHWAY,pathway,reactive_oxygen_species_pathway,13,49
32,E2F_targets,proliferation,cell_cycle_progression_E2F_targets,420,200
33,G2M_checkpoint,proliferation,cell_cycle_progression_G2/M_checkpoint,420,200
34,MYC_TARGETS_V1,proliferation,MYC_targets_variant_1,404,200
35,MYC_TARGETS_V2,proliferation,MYC_targets_variant_2,6,58
36,P53_PATHWAY,proliferation,p53_pathway,85,200
37,MITOTIC_SPINDLE,proliferation,cell_cycle_progression_mitotic_spindle_assembly,108,200
38,ANDROGEN_RESPONSE,signaling,androgen_response,8,117
39,ESTROGEN_RESPONSE_EARLY,signaling,early_estrogen_response,61,200
40,ESTROGEN_RESPONSE_LATE,signaling,late_estrogen_response,61,200
41,IL2_JAK_STAT5_SIGNALING,signaling,IL2_STAT5_signaling,13,200
42,KRAS_SIGNALING_UP,signaling,KRAS_signaling_upregulated_genes,14,200
43,KRAS_SIGNALING_DN,signaling,KRAS_signaling_downregulated_genes,16,200
44,MTORC1_SIGNALING,signaling,mTORC1_signaling,487,200
45,NOTCH_SIGNALING,signaling,Notch_signaling,49,32
46,PI3K_AKT_MTOR_SIGNALING,signaling,PI3K_signaling_via_AKT_to_mTORC1,591,105
47,HEDGEHOG_SIGNALING,signaling,Hedgehog_signaling,79,36
48,TGF_BETA_SIGNALING,signaling,TGF_beta_signaling,29,54
49,TNFA_SIGNALING_VIA_NFKB,signaling,TNFA_signaling_via_NFÎºB,132,200
50,WNT_BETA_CATENIN_SIGNALING,signaling,canonical_beta_catenin_pathway,49,42
